,Header,Title,Timestamp,search_string,Search Engine,News link
80,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:59.711303,GoogleStock Price,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
81,Gadgets 360,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",2024-01-25 17:40:59.726923,GoogleStock Price,YAHOO,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306
82,The Economic Times,Stock Radar: Down 20% from highs! This smallcap stock is showing signs of bottoming out; time to...,2024-01-25 09:40:59.726923,GoogleStock Price,YAHOO,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-down-20-from-highs-this-smallcap-stock-is-showing-signs-of-bottoming-out-time-to-buy/articleshow/107110896.cms
83,Business Standard India,Analysts downgrade Zee Entertainment stock after Sony deal falls through,2024-01-22 19:40:59.726923,GoogleStock Price,YAHOO,https://www.business-standard.com/companies/news/analysts-downgrade-zee-entertainment-stock-after-sony-deal-falls-through-124012200791_1.html
84,Livemint,Explore vivid visual experience with best QLED TVs in India: Top 9 picks,2024-01-25 17:40:59.726923,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/explore-vivid-visual-experience-with-best-qled-tvs-in-india-top-9-picks-11706175933708.html
85,Livemint,"New rules on pension fund withdrawal, bulk emails to take effect on February 1",2024-01-22 19:40:59.726923,GoogleStock Price,YAHOO,https://www.livemint.com/news/india/from-pension-fund-withdrawal-norms-to-bulk-email-guidelines-these-rules-will-change-from-feb-1-details-here-11705921415508.html
86,Livemint,Satya Nadella compares Rabbit R1 AI assistant to original iPhone,2024-01-20 19:40:59.726923,GoogleStock Price,YAHOO,https://www.livemint.com/technology/tech-news/microsoft-ceo-satya-nadella-praises-rabbit-r1-ai-assistant-steve-jobs-iphone-launch-one-of-the-most-impressive-11705722271026.html
87,Livemint,Amazon Republic Day Sale: Grab wireless security cameras with up to 64% off,2024-01-19 19:40:59.726923,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/amazon-republic-day-sale-grab-wireless-security-cameras-with-up-to-64-off-11705666273941.html
88,Business Insider India,The surprising reason millennial parents are miserable,2024-01-23 19:40:59.742544,GoogleStock Price,YAHOO,https://www.businessinsider.in/videos/news/the-surprising-reason-millennial-parents-are-miserable/videoshow/107000377.cms
89,Livemint,Elon Musk dismisses reports about AI company's $500 mn funding as ‘fake news’,2024-01-21 19:40:59.742544,GoogleStock Price,YAHOO,https://www.livemint.com/companies/people/elon-musk-dismisses-reports-about-ai-companys-funding-as-fake-news-11705804921977.html
90,The Economic Times,Google settles AI-related chip patent lawsuit that sought $1.67 billion - ET BrandEquity,2024-01-25 13:41:04.343809,GoogleLaw Suits,YAHOO,https://brandequity.economictimes.indiatimes.com/news/digital/google-settles-ai-related-chip-patent-lawsuit-that-sought-1-67-billion/107140044
91,Firstpost,Google settles AI-chip IP infringement case that sought $1.6 bn damages for undisclosed amount,2024-01-25 10:41:04.343809,GoogleLaw Suits,YAHOO,https://www.firstpost.com/tech/google-settles-ai-chip-ip-infringement-case-that-sought-1-6-bn-damages-for-undisclosed-amount-13653312.html
